ID,Ticker,BondName,Morningstar Category,Taxonomy,Price,Shares, Value 
1,IVV,iShares Core S&P 500 ETF,Large Blend,U.S. Equities ,447.05,280,"125,000"
3,SCHD,Schwab US Dividend Equity ETF™,Large Value,U.S. Equities ,73.63,"1,358","100,000"
4,USXF,iShares® ESG Advanced MSCI USA ETF,Large Growth,U.S. Equities ,35.99,"2,779","100,000"
7,FOVL,iShares Focused Value Factor ETF,Mid-Cap Value,U.S. Equities ,52.18,"1,916","100,000"
9,VBR,Vanguard Small-Cap Value ETF,Small Value,U.S. Equities ,164.51,304,"50,000"
10,VIGI,Vanguard Intl Div Apprec ETF,Foreign Large Growth,International Equities ,74.41,"2,688","200,000"
11,JPEM,JPMorgan Diversified Return EMkts Eq ETF,Diversified Emerging Mkts,Emerging Market Equities ,51.62,"6,587","340,000"
12,ISCF,iShares MSCI Intl Small-Cap Mltfct ETF,Foreign Small/Mid Blend,International Equities ,30.47,"5,579","170,000"
13,IGRO,iShares International Dividend Gr ETF,Foreign Large Blend,International Equities ,62.17,"4,825","300,000"
14,VNQ,Vanguard Real Estate ETF,Vanguard Real Estate Index,Publicly Traded REITs    ,81.81,"4,523","370,000"
15,DFAR,Dimensional US Real Estate ETF,,Publicly Traded REITs    ,21.14,"14,191","300,000"
19,MFLX,First Trust Flexible Muncpl Hgh Inc ETF,Muni National Long,Very-High-Quality Municipal Bonds,15.97,"9,393","150,000"
21,SMMU,PIMCO Short Term Municipal Bond Actv ETF,Muni National Short,Very-High-Quality Municipal Bonds,49.32,"4,055","200,000"
23,MUNI,PIMCO Intermediate Municipal Bd Actv ETF,Muni National Interm,Very-High-Quality Municipal Bonds,50.88,"2,948","150,000"
27,IGMWX,Voya GNMA Income W,Intermediate Government,U.S. Government Bonds ,7.19,"69,541","500,000"
28,VFIUX,Vanguard Interm-Term Treasury Adm,Intermediate Government,U.S. Government Bonds ,9.68,"46,488","450,000"
29,VICSX,Vanguard Interm-Term Corp Bd Idx Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,20.81,"7,208","150,000"
30,VGCAX,Vanguard Global Credit Bond Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,18.35,"5,450","100,000"
33,SWRSX,Schwab Treasury Infl Protected Secs Idx,Inflation-Protected Bond,U.S. Government Bonds ,10.11,"39,565","400,000"
34,VICSX,Vanguard Interm-Term Corp Bd Idx Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,20.81,"7,208","150,000"
35,ICBFX,Invesco Corporate Bond R6,Corporate Bond,Very-High-Quality Corporate Bonds ,6,"16,667","100,000"
37,PEX,ProShares Global Listed Private Equity,private equity index,Private Equity ,27.94,"11,990","335,000"
42,BPLSX,Boston Partners Long/Short Equity Instl ,,Long/Short Equities ,15.01,"6,662","100,000"
43,GARIX,Gotham Absolute Return Institutional,,Long/Short Equities ,19.5,"6,923","135,000"
44,GCHDX,Gotham Hedged Core Institutional,,Long/Short Equities ,10.66,"9,381","100,000"
,,Cash,,Cash,,,"1,500"